rank	city	state	pop2012	pop2013
1	San Marcos	Texas	50092	54076
2	Frisco	Texas	128463	136791
3	South Jordan	Utah	55960	59366
4	Cedar Park	Texas	57965	61238
5	Lehi	Utah	51540	54382
6	Goodyear	Arizona	69556	72864
7	Georgetown	Texas	52533	54898
8	Gaithersburg	Maryland	62943	65690
9	Mount Pleasant town	South Carolina	71947	74885
10	Meridian	Idaho	80409	83596
11	Odessa	Texas	106500	110720
12	Gilbert town	Arizona	221223	229972
13	McKinney	Texas	143032	148559
14	Franklin	Tennessee	66326	68886
15	Pearland	Texas	96374	100065
16	Buckeye town	Arizona	54608	56683
17	Fort Myers	Florida	65697	68190
18	New Braunfels	Texas	61006	63279
19	Cary town	North Carolina	145794	151088
20	Midland	Texas	119665	123933
21	Pflugerville	Texas	51936	53752
22	Bismarck	North Dakota	64777	67034
23	Coconut Creek	Florida	54976	56792
24	Castle Rock town	Colorado	51377	53063
25	Lake Elsinore	California	55699	57525
26	Irvine	California	229373	236716
27	Fargo	North Dakota	110142	113658
28	Layton	Utah	68603	70790
29	West Des Moines	Iowa	59391	61255
30	Nampa	Idaho	83921	86518
31	League City	Texas	88286	90983
32	North Richland Hills	Texas	65327	67317
33	Casper	Wyoming	57933	59628
34	Round Rock	Texas	106710	109821
35	Bend	Oregon	78939	81236
36	San Marcos	California	86906	89387
37	Carmel	Indiana	83573	85927
38	Seattle	Washington	634635	652405
39	Murfreesboro	Tennessee	113871	117044
40	Sioux Falls	South Dakota	160230	164676
41	Edinburg	Texas	78661	80836
42	Delray Beach	Florida	62356	64072
43	Pleasanton	California	72145	74110
44	Brentwood	California	53558	55000
45	Cape Coral	Florida	161492	165831
46	Auburn	Alabama	57058	58582
47	Grand Forks	North Dakota	53533	54932
48	Menifee	California	81324	83447
49	Kissimmee	Florida	63516	65173
50	Baytown	Texas	73513	75418
51	Mansfield	Texas	59339	60872
52	Wellington	Florida	58688	60202
53	Plantation	Florida	88023	90268
54	Allen	Texas	89744	92020
55	Sanford	Florida	54617	56002
56	Fayetteville	Arkansas	77015	78960
57	Thornton	Colorado	124230	127359
58	Fishers town	Indiana	81850	83891
59	Durham	North Carolina	239633	245475
60	Austin	Texas	864407	885400
61	Noblesville	Indiana	55217	56540
62	New Orleans	Louisiana	369888	378715
63	Edmond	Oklahoma	84979	87004
64	Charlotte	North Carolina	774442	792862
65	Denver	Colorado	634542	649495
66	Sugar Land	Texas	81996	83860
67	Bradenton	Florida	50618	51763
68	Orland Park village	Illinois	57311	58590
69	Springdale	Arkansas	73588	75229
70	Redwood City	California	79114	80872
71	Norman	Oklahoma	115643	118197
72	College Station	Texas	97907	100050
73	Gilroy	California	50594	51701
74	Lakeville	Minnesota	57317	58562
75	North Little Rock	Arkansas	64687	66075
76	Roseville	California	124372	127035
77	Orlando	Florida	250159	255483
78	Hillsboro	Oregon	95355	97368
79	Centennial	Colorado	103924	106114
80	Fort Collins	Colorado	148938	152061
81	Henderson	Nevada	265285	270811
82	Columbus	Georgia	198701	202824
83	Temecula	California	104618	106780
84	Washington	District of Columbia	633427	646449
85	North Charleston	South Carolina	102003	104054
86	Wilmington	North Carolina	109874	112067
87	Broomfield	Colorado	58311	59471
88	Raleigh	North Carolina	423338	431746
89	Walnut Creek	California	65598	66900
90	Conroe	Texas	61809	63032
91	Bellevue	Nebraska	52626	53663
92	St. George	Utah	75335	76817
93	Auburn	Washington	73428	74860
94	Livermore	California	83531	85156
95	Iowa City	Iowa	70231	71591
96	Aurora	Colorado	339242	345803
97	Jupiter town	Florida	57202	58298
98	Surprise	Arizona	121256	123546
99	Fort Worth	Texas	778084	792727
100	Charleston	South Carolina	125635	127999
101	Hendersonville	Tennessee	53071	54068
102	Minneapolis	Minnesota	392768	400070
103	Billings	Montana	107079	109059
104	Greenwood	Indiana	52694	53665
105	Novi	Michigan	56915	57960
106	San Antonio	Texas	1383641	1409019
107	Novato	California	53220	54194
108	Oklahoma City	Oklahoma	599679	610613
109	Rogers	Arkansas	59036	60112
110	Woodbury	Minnesota	64481	65656
111	Boca Raton	Florida	87812	89407
112	Mountain View	California	76479	77846
113	Peoria	Arizona	159746	162592
114	Arvada	Colorado	109772	111707
115	Tuscaloosa	Alabama	93683	95334
116	Columbia	Missouri	113285	115276
117	Antioch	California	105267	107100
118	Richland	Washington	51520	52413
119	North Las Vegas	Nevada	223033	226877
120	Missouri City	Texas	69000	70185
121	Blaine	Minnesota	59391	60407
122	Davie town	Florida	95205	96830
123	Concord	North Carolina	82105	83506
124	Pittsburg	California	65584	66695
125	Pembroke Pines	Florida	159630	162329
126	Bakersfield	California	357603	363630
127	Chula Vista	California	252545	256780
128	Redmond	Washington	56583	57530
129	Phoenix	Arizona	1488524	1513367
130	Fairfield	California	107531	109320
131	St. Charles	Missouri	66466	67569
132	Carlsbad	California	109166	110972
133	Houston	Texas	2160712	2195914
134	San Jose	California	982579	998537
135	Elk Grove	California	158466	161007
136	Perris	California	71186	72326
137	West Jordan	Utah	108346	110077
138	Flagstaff	Arizona	67589	68667
139	Loveland	Colorado	70217	71334
140	Palm Coast	Florida	77511	78740
141	Mission Viejo	California	94846	96346
142	Killeen	Texas	135015	137147
143	Maple Grove	Minnesota	64410	65415
144	Fremont	California	221469	224922
145	Rancho Cordova	California	66872	67911
146	Huntington Beach	California	194563	197575
147	Richmond	Virginia	210857	214114
148	Scottsdale	Arizona	223473	226918
149	Columbus	Ohio	810103	822553
150	Bowling Green	Kentucky	60568	61488
151	Westminster	Colorado	109287	110945
152	Nashville-Davidson metropolitan government (balance)	Tennessee	624993	634464
153	Bloomington	Illinois	77727	78902
154	Rochester	Minnesota	109108	110742
155	Hayward	California	149338	151574
156	Normal town	Illinois	53860	54664
157	Jonesboro	Arkansas	70505	71551
158	Lewisville	Texas	99600	101074
159	Greenville	North Carolina	87834	89130
160	Smyrna	Georgia	52662	53438
161	Sunrise	Florida	88808	90116
162	Boynton Beach	Florida	70070	71097
163	Plymouth	Minnesota	72921	73987
164	Colorado Springs	Colorado	433570	439886
165	Asheville	North Carolina	85993	87236
166	New Rochelle	New York	78315	79446
167	Olathe	Kansas	130011	131885
168	Milpitas	California	68798	69783
169	Santa Cruz	California	61977	62864
170	Gulfport	Mississippi	70014	71012
171	Marysville	Washington	62384	63269
172	Chandler	Arizona	245671	249146
173	San Angelo	Texas	96134	97492
174	San Diego	California	1337029	1355896
175	St. Peters	Missouri	54081	54842
176	Alexandria	Virginia	146839	148892
177	Palm Beach Gardens	Florida	50001	50699
178	North Port	Florida	58398	59212
179	Somerville	Massachusetts	77724	78804
180	Indio	California	82399	83539
181	Longmont	Colorado	88694	89919
182	Irving	Texas	225547	228653
183	Cheyenne	Wyoming	61600	62448
184	San Mateo	California	99755	101128
185	Pompano Beach	Florida	102993	104410
186	Laredo	Texas	244778	248142
187	Rocklin	California	58930	59738
188	Boulder	Colorado	101771	103166
189	Broken Arrow	Oklahoma	102103	103500
190	Bellevue	Washington	132187	133992
191	Lubbock	Texas	236326	239538
192	Homestead	Florida	63220	64079
193	Manteca	California	70984	71948
194	Corpus Christi	Texas	312154	316381
195	Denton	Texas	121460	123099
196	Huntsville	Alabama	183775	186254
197	Medford	Oregon	76649	77677
198	Temple	Texas	69264	70190
199	St. Paul	Minnesota	291039	294873
200	Greeley	Colorado	95286	96539
201	Overland Park	Kansas	178914	181260
202	Mesa	Arizona	451677	457587
203	Moreno Valley	California	198588	201175
204	Rio Rancho	New Mexico	90775	91956
205	Pasco	Washington	66731	67599
206	Rockville	Maryland	63250	64072
207	Sparks	Nevada	92089	93282
208	Dallas	Texas	1241700	1257676
209	Omaha	Nebraska	428850	434353
210	Lawrence	Kansas	89661	90811
211	Bossier City	Louisiana	65497	66333
212	Fayetteville	North Carolina	201834	204408
213	Renton	Washington	95782	97003
214	Boston	Massachusetts	637845	645966
215	Berkeley	California	115301	116768
216	Clovis	California	98523	99769
217	Santee	California	55409	56105
218	Oakland	California	401230	406253
219	Rapid City	South Dakota	69943	70812
220	Riverside	California	312747	316619
221	Rock Hill	South Carolina	68258	69103
222	Chino	California	80003	80988
223	Union City	California	71647	72528
224	Las Vegas	Nevada	596178	603488
225	Palmdale	California	155260	157161
226	Tampa	Florida	348701	352957
227	Danbury	Connecticut	82676	83684
228	Lincoln	Nebraska	265506	268738
229	Kirkland	Washington	83417	84430
230	Stamford	Connecticut	124942	126456
231	San Francisco	California	827420	837442
232	Madison	Wisconsin	240441	243344
233	Vancouver	Washington	165435	167405
234	Kent	Washington	122979	124435
235	Port St. Lucie	Florida	169018	171016
236	Conway	Arkansas	63072	63816
237	Miramar	Florida	128777	130288
238	Marietta	Georgia	58407	59089
239	Chapel Hill town	North Carolina	58949	59635
240	Springfield	Missouri	162236	164122
241	Tempe	Arizona	166297	168228
242	Southaven	Mississippi	50416	50997
243	San Leandro	California	86963	87965
244	Reno	Nevada	230667	233294
245	Lakewood	Colorado	145558	147214
246	Watsonville	California	51887	52477
247	Corona	California	157719	159503
248	Encinitas	California	60901	61588
249	Glendale	Arizona	232035	234632
250	Arcadia	California	57002	57639
251	Lakeland	Florida	99601	100710
252	Greensboro	North Carolina	276566	279639
253	Shawnee	Kansas	63619	64323
254	Petaluma	California	58790	59440
255	O'Fallon	Missouri	81908	82809
256	Lafayette	Louisiana	122928	124276
257	Lynchburg	Virginia	77185	78014
