games	name	rating	years
24	AL-ALI, Amna Nuaman	-1	2010-2014
23	ABRAMAVICIUS, Leonhard	-1	1930-1955
24	ABRAMOV, Lev Yakovlevich	-1	1942-1975
56	ARNLIND, Eric Alfons	-1	1940-1975
27	AGUADO, Jose Sanz	-1	1931-1967
22	ABUR, Lyndah Amollo	-1	2004-2006
87	DE ALMEIDA, Octavio Figueira Trompowsky	-1	1925-1954
57	ALMGREN, Sven Elias	-1	1942-1961
93	ALONI, Izak	-1	1935-1968
39	AGNOS, Demetrios	-1	1987-1998
103	ALSTER, Ladislav	-1	1944-1989
34	ARLAUSKAS, Romanas	-1	1936-1962
37	ARLAMOWSKI, Edward	-1	1938-1955
25	ANDRIULAITIS, Vytautas	-1	1999-2002
85	ALVAREZ, Rodrigo Flores	-1	1927-1965
36	ARDID, Ramon Rey	-1	1921-1944
192	ADAMS, Weaver Warren	-1	1924-1958
103	APSENIEKS, Fricis	-1	1924-1939
24	APPERLY, Henry Wellsteed	-1	1892-1903
24	APPEL, Isaak	-1	1933-1938
24	ANAGNOSTOU, Ioannis	-1	1952-1954
94	ANDERSEN, Borge	-1	1954-1974
753	ANTOSHIN, Vladimir	-1	1951-1988
107	ANDERSEN, Erik	-1	1927-1937
23	ANDERSEN, Jens	-1	1997-2002
61	ANDERSON, Frank Ross	-1	1948-1964
795	ANDERSSEN, Adolf	-1	1844-1878
23	AMSTERDAM, City of	-1	1824-1918
90	ABRAHAMS, Gerald	-1	1923-1962
64	ALLIES	-1	1837-1946
45	ARONSON, Lev	-1	1947-1977
24	AVRAM, Herbert	-1	1940-1967
29	AVIROVIC, Djordje	-1	1930-1959
309	ALAPIN, Semion	-1	1875-1914
26	ATWOOD, George	-1	1794-1801
137	AITKEN, James Macrae	-1	1937-1976
240	ARONIN, Lev	-1	1945-1969
334	ALBERO, Roman Toran	-1	1948-1975
99	ATKINS, Henry Ernest	-1	1892-1937
265	ALBIN, Adolf	-1	1890-1914
114	ASZTALOS, Lajos	-1	1911-1938
298	ALATORTSEV, Vladimir	-1	1929-1965
26	ASGEIRSSON, Asmundur	-1	1930-1947
267	ALEXANDER, Conel Hugh O'Donel	-1	1928-1973
33	ARULAID, Alexander	-1	1942-1970
260	AHUES, Carl	-1	1908-1949
126	ANDRIC, Dragoslav	-1	1948-1981
1967	ALEKHINE, Alexander	-1	1903-1946
27	ASENOVA, Venka	-1	1961-1972
21	AL-KHELAIFI, Kholoud	1511	2008-2014
21	ALACHAN, Mirna Graciela Fernandez	1523	2010-2014
27	AVILA, Zaily M Arbona	1540	2008-2014
24	ABDULSALAM, Nadhmia	1551	2006-2010
28	ANDREA, Frentina	1591	2004-2008
21	ALEV, Gonulden Seda	1648	2012-2013
45	AROSEMENA, Betty	1657	2006-2012
33	AVALOS, Leticia	1672	2008-2014
56	AL-KHELAIFI, Aisha	1736	2006-2014
22	ATTHAWORADEJ, Worasuda	1749	2010-2014
42	AL-KHELAIFI, Salama	1797	2006-2010
27	ANDRASON, Pall	1799	2009-2011
32	ALTMAN, Joshua	1812	2012-2014
