Current residence	Population 1 year and over	Same house 1 year ago	Same state of residence 1 year ago	Different state of residence 1 year ago	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	Total	Puerto Rico	U.S. Island Area	Foreign Country
Alabama	4791931	4081522	589211	107919		1136	837	1450	5402	2019	497	116	123	14403	20220	1034	508	2263	2065	231	496	3718	2353	0	1318	601	2559	264	5473	2347	0	284	617	250	635	570	2283	2418	0	4577	1218	194	1444	0	2255	0	7770	6422	599	179	1925	1143	1162	234	307	13279	320	46	12913
Alaska	725206	585916	97358	37842	603		2049	240	3419	2017	167	56	0	2681	535	730	716	159	183	123	380	917	844	131	300	314	140	406	423	1706	637	173	160	141	145	217	168	802	144	568	150	2034	567	78	910	157	355	4549	442	115	684	4841	0	459	107	4090	118	0	3972
Arizona	6651964	5431241	922129	249730	785	3140		1180	57446	9663	458	500	185	9149	4393	1911	3825	11858	2431	2739	2355	2366	1454	762	2206	2039	9378	4541	950	6000	1399	1782	7013	875	2923	8522	7309	3932	1408	6908	2124	6548	4292	1650	1027	1508	1602	16411	5118	661	3202	13152	32	5948	2670	48864	679	332	47853
Arkansas	2931123	2464189	383087	74741	2145	66	782		5070	1149	431	0	213	2611	2013	283	0	3251	405	696	1491	398	2844	0	64	49	801	846	2962	9565	232	0	229	0	244	778	1326	335	0	711	8530	254	816	0	543	0	4534	14398	490	0	1250	777	303	822	34	9106	148	241	8717
California	38340324	32849251	4659084	513968	10439	7098	35200	1570		17500	5994	1067	4219	25622	8669	12753	7303	21441	6680	3618	6836	3217	4884	761	6996	10750	11601	9449	2336	7638	2862	3143	29985	1119	12884	4744	34201	12550	1112	8267	6511	21028	14858	817	3925	2964	5620	38990	14273	1041	17847	32837	897	6451	1401	318021	4317	1752	311952
Colorado	5293943	4263998	777699	218728	1004	2696	12304	1956	24506		832	254	1323	9304	5057	2943	1365	9081	3940	4707	4780	1004	2066	194	3091	2565	2858	3673	777	4900	2733	2896	3945	369	2212	7069	9519	4974	1059	4419	6811	2064	4244	0	1590	1570	2297	24431	2926	720	7328	8768	110	4068	5426	33518	342	765	32411
Connecticut	3558915	3111779	334207	82746	275	2294	269	0	3683	464		282	212	6450	2232	662	0	2059	177	104	0	636	150	1898	1825	8381	28	858	66	844	0	0	541	1296	5473	0	21431	1368	0	1064	260	555	3872	4771	457	93	1325	1696	241	825	2847	699	0	83	0	30183	4210	82	25891
Delaware	924770	810905	77246	32166	46	462	269	0	160	95	954		358	752	1455	0	0	88	0	0	0	105	0	14	6777	1050	159	484	0	477	0	54	29	483	4366	58	3673	1036	0	148	224	7	5670	32	418	0	277	737	0	0	806	124	176	143	0	4453	272	0	4181
District of Columbia 	648586	513634	67286	56234	251	92	186	106	5206	476	1336	290		1745	445	283	229	1768	525	96	133	375	689	167	13606	1575	334	414	71	195	84	111	593	154	2075	76	3562	1670	44	286	78	130	2311	125	389	0	429	1311	445	0	9920	1089	213	291	255	11432	39	148	11245
Florida	19683763	16504838	2436619	546501	15731	7883	7902	1911	23239	9260	12944	1401	1897		42020	2180	915	25095	10599	3728	2879	6237	5179	4293	15850	15606	23791	5399	5623	8481	161	1785	4024	4248	24425	1336	58753	25333	730	27438	5296	2797	28841	3816	11346	693	13711	25175	2926	2319	25342	4510	3313	7735	405	195805	27596	4398	163811
Georgia	9970167	8406436	1238139	274095	18778	3804	6629	1793	13978	5629	3248	1542	582	45495		1528	532	4550	2938	332	3031	3962	3608	752	5247	4290	7618	1288	4589	2149	189	1033	2218	216	4249	1586	14399	14421	495	5675	1414	571	7914	427	17776	452	14797	17311	882	206	10491	4161	1487	3473	360	51497	1315	227	49955
